group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Marriage data	340	Brian mac Mail-Shechlainn O'Kelly							
Marriage data	341	Cablaigh Mor O'Conor							
Marriage data	342	Niall O'Donnell							
Marriage data	343	Aedh O'Rourke							
Marriage data	344	Cathal mac Aedh O'Conor							
Marriage data	345	Una O'Conor-2							
Marriage data	346	Tadhg mac Manus O'Conor							
Marriage data	347	Aedh Maguire-2							
Marriage data	348	Mary O'Kane							
Marriage data	349	Unknown O'Kane-1							
Marriage data	350	Unknown O'Doherty-1							
Marriage data	351	Finola O'Rourke							
Marriage data	353	d. Brian O'Farrell							
Marriage data	354	Brian O'Farrell							
Marriage data	355	Unknown Sionnach-2							
Marriage data	356	Finnghuala O'Farrell							
Marriage data	357	Unknown MacSweeny-1							
Marriage data	358	Finnghuala O'Conor							
Marriage data	360	d. O'Conor Faly							
Marriage data	363	Nualaith O'Conor							
Marriage data	365	Farrell mac Conor MacDonough							
Marriage data	366	d. Donnell O'Brien							
Marriage data	367	Donnell O'Brien							
Marriage data	368	Philip mac Mahon O'Kennedy Don							
Marriage data	369	Margaret MacSweeny							
Marriage data	370	John mac Donnell O'Donnell							
Marriage data	371	Sabia O'Brien							
Marriage data	372	Conor O'Brien							
Marriage data	373	Walter Burke-2							
Marriage data	374	Sadhbh MacMurrough							
Marriage data	377	Benmumhan O'Conor							
Marriage data	378	Aedh O'Conor							
Marriage data	379	Murchadh mac Cormac MacDonough							
Marriage data	380	Caitilin O'Farrell							
Marriage data	381	Tomaltach O'Farrell							
Marriage data	382	Maelsechlainn Mor MacOwen							
Marriage data	383	Joan Fitzgerald							
Marriage data	385	Sabia O'Rourke							
Marriage data	386	Edmund mac Thomas O'Farrell							
Marriage data	387	Catherine MacDonough							
Marriage data	388	Maelsechlainn mac Maurice MacDonough							
Marriage data	389	Unknown MacFirbisigh-1							
Marriage data	390	Bebinn MacDonough							
Marriage data	391	Ruaidhri mac Tomaltach MacDonough							
Marriage data	392	Owen mac Donnell O'Conor							
Marriage data	393	Beanmidhe O'Glennon							
Marriage data	394	Unknown O'Glennon-1							
Marriage data	395	Gilla-Tigernaigh MacGillamartin							
Marriage data	396	Gormlaith O'Neill							
Marriage data	397	Brian Mor O'Neill							
Marriage data	398	John O'Donnell							
Marriage data	399	Una O'Neill							
Marriage data	400	Donnell O'Neill							
Marriage data	402	Catirfina O'Rourke							
Marriage data	403	Cathal O'Rourke							
Marriage data	404	Turlough MacDonnell							
Marriage data	405	Ragnailt O'Birn							
Marriage data	406	Donnchadh O'Birn							
Marriage data	407	Diarmait MacDermot							
Marriage data	408	William mac Walter Burke							
Marriage data	409	Cumscrach MacRannell							
Marriage data	410	Grainne MacDermot							
Marriage data	411	Fergal MacDermot							
Marriage data	412	Unknown MacRannell Dubh-2							
Marriage data	413	Lasarina O'Conor							
Marriage data	414	Cathal mac Aedh Breifneach O'Conor							
Marriage data	415	Melaghlin mac Flaherty O'Rourke							
Marriage data	416	Finnguala MacRannell							
Marriage data	417	Unknown MacRannell-2							
Marriage data	418	Richard mac Thomas O'Reilly							
Marriage data	419	Lasarfina O'Hanley							
Marriage data	421	Murchadh mac Tomas O'Birn							
Marriage data	422	d. O'Broin							
Marriage data	423	Unknown O'Broin-1							
Marriage data	424	Donnell Finn MacHerbert							
Marriage data	425	Anabla MacJordan d'Exeter							
Marriage data	426	Unknown MacJordan d'Exeter-1							
Marriage data	427	Uilliam mac Maelsechlainn O'Kelly							
Marriage data	428	Mary Burke							
Marriage data	429	Unknown Burke-1							
Marriage data	430	James Fitzgerald							
Marriage data	431	Mor O'Durnin							
Marriage data	432	Unknown O'Durnin-1							
Marriage data	433	Tomaltach O'Birn							
Marriage data	434	Mor O'Brien							
